gene	YNB_NH4_GLU_20180713	YNB_NH4_GLU_20180731	YNB_NH4_GLU_20180807	YNB_UREA_GLU_20180724	SC_NH4_GLU_20180827	SC_UREA_GLU_20180911	SC_NH4_GAL_20181023
YEL025C		0.432631	-0.153631	0.375889	0.571011	0.384307	1.072718
GDH3	-0.350032		-0.214073	0.555496	0.602018	0.194461	1.244687
COX20	-0.820893	0.174072	-0.676334	0.361983	1.258883		
GUP2	-0.363036		-0.328375	0.075385	0.522578	0.161919	0.747767
DSC3	-0.178405	0.251013	-0.3746	-0.01848	0.637059	0.321679	0.610143
NAM2		0.328927	-0.526229	-0.092106	1.467157	0.798662	1.342372
PEX21	-0.233802	0.010286		0.312334	0.967894	-0.202249	
DGR2	-0.152384	0.041358	-0.377703	0.260468	0.92636		1.356691
CBP4	-0.088298	0.070911	-0.750338	0.450133	1.112727	0.584509	
HUA1	-0.017488	0.07085	-0.385595	0.205575	0.619375	0.176789	0.627731
YDR248C	-0.175613	0.076861	-0.437563	0.178157	0.695678	0.186353	1.073097
PUF4	0.321894	-0.104997	-0.547311	0.241904	1.563439	0.125584	1.842782
YBR197C	-0.018544	0.022971	-0.20194	-0.000432	0.518114	0.068592	0.452369
AIM14	-0.050171	-0.254886	-0.019584	0.190482	0.790227	0.113757	
IME1	-0.244085		-0.023703	0.278133	0.976616	0.226573	0.55185
HST1	-0.466371	-0.384008	-0.392724	0.471663	1.249404	0.089183	0.985682
RSC2							1.098075
HOS3	-0.36682	-0.449604	-0.162794		1.740056	0.067285	1.318464
TEP1	-0.399179	-0.166698	-0.145547	0.112267	0.569607	0.09774	0.38487
SLF1		-0.376367	-0.290017	0.081238	1.222679	0.301171	0.964098
MIP1	0.262878	0.279847	-0.013643	0.237668	1.023352	1.887437	
UGA3	-0.000803	-0.027329	-0.006491	-0.008787	0.383463	0.627902	0.421222
RTC5	0.523131	-0.089398	-0.148867	0.16716	0.800144	0.238239	0.571342
SET2	0.428502	-0.97343	-0.011132	0.611094	2.336397	1.900661	1.469031
UBP8	0.375261	-0.042299	-0.151845	0.366165	1.596908	0.851617	1.200342
YDR306C	0.198912	-0.003116	-0.061188	0.153391	0.625007	0.380528	0.313963
RFM1	0.513619	-0.18028	-0.330772	0.48614	0.982622	1.168148	0.845945
YBL096C	0.096064	-0.200748			1.219052	0.695423	1.263195
LIA1	0.20848		-0.753342	0.131011			
YOR082C	0.026998	-0.510357	-0.362386	0.079982	1.713207	1.276203	1.696213
YMR075C-A	0.090343		-0.391174	0.224166	1.545453	1.573261	1.596788
SKO1	0.18148	0.054726	-0.186325	0.038401	0.653783	0.89515	0.750125
AAC1	0.109282		-0.205454	0.080414	0.402255	0.465296	0.527104
EHD3	0.09891	-0.143961	-0.323395	-0.086234	0.484727	0.65336	0.701864
PDR18	0.26803	0.269281		0.125824	0.391067	0.805623	1.013756
THI20		0.104164	-0.109539	0.033705	0.120342	0.231163	0.298278
PUF2	0.341951	0.229953	-0.340775	0.045254	0.435199	0.257196	0.634398
NFI1	0.310371	0.05613	-0.392508	0.075564	0.47132		0.773109
TAT2	-0.176889	0.283915	0.149078	-0.17072	0.165114	0.334519	0.654075
YFL035C-B	-0.244812	0.18098	0.175495	-0.659179	0.234864	0.669412	1.12045
NVJ1	-0.004998	0.373844	-0.291707	-0.175268	0.018757	0.633562	0.79957
YDL012C	-0.085519	0.131593	-0.096671	0.035798	-0.039865	0.218403	0.540704
SNF7	-0.132039	0.404109	-0.216974	0.600236	0.000719	0.760735	1.449827
YLR456W	-0.082621	-0.007007	0.659234		0.310909	0.554549	0.171859
ARN2	-0.093423		0.677321		0.562371	0.703344	0.351217
UBP3		0.379737		0.011427			1.193895
MRS4	-0.184903	0.409647	0.254267	-0.013077	-0.022026	0.425587	0.474246
YJR124C	-0.056334		0.558773	-0.079655	0.214858	0.526679	0.505501
DSF2		0.450135	0.417952	-0.04397	0.055945	0.344505	0.384547
STR2	0.169981	0.092532		-0.14628		1.162465	
ZIP2	0.008606		0.420317		0.349674		1.261808
SNC1	0.109898		0.346058	-0.010306	0.332174	0.69663	0.877358
YCR001W	-0.226931	0.606345	0.262221	-0.192231	0.593287	1.128231	0.595115
NDE2	-0.274728	0.263347	0.351537	-0.072188	0.326871	0.669506	0.472166
ITC1		0.423749	0.465406		0.366004	0.931625	0.681703
TAH1	-0.245344	0.146185	0.540211	-0.249513	0.357491	0.802168	0.773925
YKL066W	-0.091225	0.154421	0.11753		0.120676	0.324972	0.391722
YDL124W	-0.093939		0.157986	0.394183	0.150371	0.621518	0.646935
SAC1	-0.277425	0.640083	0.790665	0.344556	0.105021	1.566893	1.443466
MDY2	0.081436	0.341537	0.440638	0.24279	0.345935	0.52604	0.753221
MSH4	-0.006096	0.574311	0.59254	0.439275		0.500498	0.933464
FZF1	-0.136199	0.479065	0.276602	0.129279	0.209865	0.255889	0.520303
YOR012W		0.397719	0.241894	0.09291	0.142323	0.229794	0.450239
PUT2	0.11582	0.661008	0.369871	0.150423	0.732819	0.791013	1.107541
FLC3	-0.013276	0.350862	0.298506	0.122436	0.519529	0.687935	0.895932
YNL034W	-0.078743	0.343215	0.157994	-0.010618	0.436245	0.773929	0.713903
LAA1	-0.261481	0.812988	0.617973	0.079593	1.021298	0.809651	2.089453
BSP1	0.255995	0.27465	0.032894	-0.083941	0.188969	0.137756	0.369129
YIP5	0.268374	0.401526	0.181012	-0.169183	0.369929	0.16401	0.61295
BUD25	1.267337	1.5777	1.475793	-0.878539	2.248122	0.786476	3.191109
PDE1		0.740356	0.693312	-0.465277	0.572051	0.491236	1.066564
YDR387C	0.177583	0.861618	0.214948	-0.265612	0.342069	0.352672	0.74283
OMA1	0.372978	0.990892	0.377894	-0.13671	0.288883	0.489476	0.693337
NCA3	0.44071		0.35793	-0.196597	0.36234	0.605068	0.804236
YLL020C	0.369605	0.499819	0.010932	0.105664	0.334174	0.765235	0.294243
GND2	0.100521		0.182012	0.135019	0.227976	0.411244	0.28205
PYK2	0.25616	0.598283	0.122821	0.2372	0.368087	0.703146	0.429239
PEX15	0.541601	0.864539	0.656695	0.265675	0.840764	0.880517	0.928726
FMP46	0.363068	0.632842	0.602057	0.123838	0.628302	0.649625	0.781844
GIR2	0.242851	0.556619	0.386958	0.094879	0.418524	0.478459	0.647686
IRC24	0.258509	0.311972		0.035816	0.203215	0.298114	0.363158
RPL21A		1.47178	0.580704	0.271701	1.042439		1.758384
GTS1	0.088091	0.304993	0.081514	0.041946	0.13508	0.252983	0.260283
MSH5		0.45224	0.000097	0.019144	0.20705	0.417116	0.49845
FAA4	0.346733	0.299551	0.148722	0.140461	0.218794	0.172906	0.865958
SWC3	0.645976	0.353351	0.38702	0.320867	0.292964	0.25215	1.566631
MIX14	0.3663	0.124004	0.150663	0.234589	0.269674	0.155753	1.032893
SSM4	0.424376	0.125092	0.253383	0.252335	0.231654	0.327552	1.466846
RIM9	1.184648	0.542748	0.580905	0.68847	0.778391	0.500792	2.121769
YDR109C	0.924862	0.438569	0.439559	0.400902	0.99345	0.256357	2.000045
CHA4	0.336096	0.334053	-0.09979	-0.104336	0.13883	0.143452	1.059204
ECM14	0.307618	0.392853	0.000301	0.009703	0.619002	0.104535	1.08316
YOL160W							0.107359
PEP1	0.341863		-0.035234				1.052664
YGR050C		0.212424		0.011427			0.410114
VNX1	0.173036	0.095241	-0.000972		0.143616	-0.000399	0.403683
HTZ1	0.308035	0.41388	0.27491	0.028786	0.535734	0.188929	1.541452
YOR111W	0.327364	0.084073	-0.138443	0.094592	0.304539	0.172435	0.766122
YML090W	0.794727	0.434121	0.564238	0.179543	0.177563	0.116147	2.808346
GSY1	0.303191	0.117117	0.057575	-0.027136	0.069419	0.158463	0.742665
SSO2	0.027039	0.248597	0.055889	0.233906	0.091939	0.200504	1.113466
MCH4	0.175091	0.044511	-0.041157	0.085672	0.131046	0.030264	0.659751
GAL3	0.289408	0.224185	-0.00605	0.042998	0.512424	0.436294	4.888007
MBA1	0.165816	0.093325	0.103517		0.049232	0.016696	1.375945
MET16		0.092532		0.235512		0.01311	1.893827
PEX31	0.167049	0.318956	0.023097		-0.078002	-0.08789	1.058579
GAL4	0.354525	0.383332	0.05824	0.284273	0.147514	0.062003	1.589292
GDH1	0.384143	1.361887	-0.651474	0.002934	0.037126	0.180348	2.355766
DNM1			-0.608217	0.068824	0.113688	0.156599	2.610424
NEL1	0.18957	0.221032	-0.162427	-0.207823	-0.272612	0.173043	0.762371
HVG1	0.21204	0.198338	0.120739	-0.190732	-0.188616	0.296167	0.955688
ADE16	0.172038	0.148558	-0.138075	0.051835	-0.156419	0.179935	0.941848
LAC1	0.172631	0.187572	-0.062722	-0.02558	-0.035137	0.352536	0.796741
MFG1	0.05575	0.285448	-0.046476	0.13302	0.239742	0.351197	0.932331
FMP48	-0.032342	0.047073	-0.055582	0.135971	0.151317	0.376791	1.009928
UBS1	-0.005056		-0.096047	0.056559	0.288222	0.213208	0.707612
SSA3	-0.001412	0.024659	0.008778	0.001603	0.259065	0.205642	0.832176
MDH3	0.003914		-0.064863	0.024791	0.201141	0.245916	0.81692
ATG21	0.306244	0.690016	0.419831	0.348274	0.764647	0.819981	1.968411
BUD28	0.015186	0.231273	0.298971	0.253764			2.024957
YFL043C	0.009391			0.142395	0.333351	0.461748	0.684245
EAF7	0.17614	0.518658	0.130947	0.181394	0.99451	0.924877	1.797211
TRK2	0.104497	0.157182	0.03835	0.063227	0.475712	0.518315	0.906353
CLG1	0.071464	0.295403	0.109982	0.606508	0.623948	0.5802	1.702433
APN2	-0.031023	0.173553	0.15482	0.359603	0.613163	0.565629	1.252321
SAT4	0.493058	-0.024067	0.315514		1.16496	0.919826	2.867494
FRE7	0.124441	0.046502	0.021088	0.18851	0.600807	0.352973	1.00981
YLR278C	0.053333	0.432157	-0.013196	0.981127	0.730562	1.071355	1.667877
SOL1	0.026184	0.052539	0.065437	0.342349	0.261719	0.377923	0.543511
YPL185W	0.180209	0.105799	0.011918	0.284197	0.297692	0.390728	0.919867
ACH1	0.134771	0.051586	0.036999	0.247951	0.334452	0.436912	0.670262
CUR1		0.116709	-0.074636	0.340679	0.443254	0.663825	1.010909
FYV7	0.007375	-0.667959	0.840255	0.447325	0.455053		2.612891
SKG3	0.085382		0.346696	0.081877	0.088425	0.730414	1.275401
YCR050C	-0.070007		0.135641		0.03363	0.181142	0.511512
XRS2		-0.089917		-0.101397			1.876541
YPL261C	0.148062	-0.191613	-0.048569	-0.082045	0.077536	0.276621	0.731369
YPR174C	0.101206	-0.256537	-0.077422	0.134807	0.177711	0.406589	0.730308
YGR111W	0.185122		-0.065501	0.318799	0.558637	0.614167	1.671664
ARO3		-0.15939	-0.089534	0.248481	0.350117	0.498621	1.155727
YKL071W	0.162675	-0.057268	0.005693	0.057934	0.098796	0.271925	0.647396
DAL7	0.125436	-0.137341	0.074402	0.152592	0.053281	0.251179	0.429288
THI72		-0.26446	0.007906	0.158137	0.01509	0.59651	0.998481
YMR315W	0.345337	0.037196	0.258716	0.112621	0.286461	0.317129	0.444036
GTO3	0.616917		0.370189	0.254538	0.462247	0.663168	0.876517
YDR134C	0.512509	0.046408	0.268698	0.267756	0.366055	0.53799	0.741278
GPH1	0.300603	0.143201	0.228865	0.261896	0.197352	0.412839	1.028664
ZNF1	0.415527	0.096773	0.299437	0.30403	0.278033	0.432656	
PPH22	1.041988	0.411197	0.646073	0.763018	0.648111	0.877266	1.896468
YOR364W							0.026744
BNS1	0.401301	0.025524	0.390336	0.469685	0.346379	0.441857	1.093293
YKL199C	0.352359	0.113919	0.433251		0.186356	0.449173	0.725735
AIR1	0.756316	0.175391	0.693192	0.143306	0.485706		1.451998
YER186C	0.326033		0.282011	0.10716	0.36926	0.43996	0.847167
DOG1	0.592617	0.117156	0.385619	0.189435	0.506539	0.484019	1.034229
YTA7	1.406257	0.755389	0.769747	0.121632	1.315774	1.052431	2.775238
CNA1		0.280285	0.611917	-0.028308	0.698157	0.608959	1.765501
NMA2	0.469943	-0.034338	0.067448	0.665682	0.594859	0.359656	0.861609
YMR187C	0.152595		0.006997	0.170661	0.220103	0.093621	0.285978
OM14		0.060191	-0.045808		0.712161	0.388704	1.007759
LTP1	0.612892	0.276729	0.019414	0.399824	0.773858	0.490133	1.191458
XKS1	0.18874	0.12296	0.020815		0.384792	0.264876	0.628436
MDE1	0.360546	0.288176	0.073619	0.392735	0.588941	0.359608	0.706899
FOB1	0.990148	0.35362	0.747713	0.559247	1.877516	1.590023	2.972327
IMG1	0.729582	0.44796	0.408645	0.61372	1.17025	0.870914	1.615916
YKU80	0.773109	0.285863	0.409359	0.346467	0.841965	0.73605	1.284323
DOG2	0.539837	0.271381	0.517899	0.470518	0.727373	0.698116	1.338761
MRPS9	2.470901	1.700715	1.666816	1.860686	2.807618	2.706883	5.732112
KIN1	0.475415		0.110504	0.244414	0.281149	0.268932	0.558298
PRM1		0.059714		0.33836	0.347784	0.347993	0.659362
CTA1		0.134346	0.180743	0.456283		0.355888	0.853487
YGR079W	0.221103		0.183166	0.286366	0.451703	0.188792	0.637976
NSG2		0.172414	0.361313	0.482104	0.760489	0.437726	1.040234
YBR116C	0.196646	0.402261	0.384116	0.532295	0.589158	0.473891	1.034953
HDA2		0.508837	0.848059	1.241009	1.23005	0.851315	2.325287
GEM1	1.142376	0.54121	0.486322	0.071289	1.092414	1.546135	1.501479
NIF3	0.540989	0.383782	0.199133	-0.005981	0.659608	0.609257	0.899225
SET4	0.248224	0.169046	0.058977	-0.014023	0.272434	0.223552	0.401807
YDR509W	0.363099		0.147834	-0.029396	0.299506	0.450582	0.722035
YDR056C		0.352371	0.091863	0.033624	0.358141	0.481744	0.796183
PFK26	0.714256	0.062352	0.083909	0.079508	0.669785	0.802894	2.065324
LYS21	0.480236	0.090745	0.014278	0.02283	0.235455	0.368675	0.947523
YGR168C	0.254698	0.191557	-0.015825	0.034503	0.224457	0.320603	0.722141
PPM1	1.252308	0.70504		0.854632		0.716539	2.182174
PET309			0.008333		2.025344	2.101475	
YML100W-A	0.605498		0.142906	0.217516	0.484268	0.415004	0.948539
PRS4		0.229825	0.051739	0.205698	0.559924	0.487983	1.344571
ESBP6	0.374464	-0.146656	0.142203	0.499849	0.345086	0.482008	0.734314
TRM2	0.266728	-0.05745	0.213875	0.448995	0.105533	0.450507	0.64422
SIP3	0.080094	0.099638	0.157752	0.374768		0.40864	0.931439
BCH1	0.091375	0.029886	0.095887	0.302906	0.017914	0.219494	0.596552
VBA1	0.22105	-0.072019	0.084682	0.267654	0.021788	0.139737	0.494232
YDL057W	0.196966	0.010152	0.048062	0.520955	0.048623	0.146727	0.938714
YLR012C	0.056162	0.062143	0.266213	0.170233	-0.005646	0.220266	0.508117
TPO1	0.140969	0.174089	0.205096	-0.045333	0.122416	0.245681	0.636319
DUG2	0.268576	0.292006	0.36583	0.103249	0.057602	0.484785	0.829467
VTH1	0.425201	0.290115	0.33491	0.244105	0.189151	0.331497	0.654393
MAK3	1.127278	0.836345	1.011342	0.530079	0.217311	0.743248	2.12341
YPL041C		0.17035	0.169304	0.130552	0.047734		0.375362
MAK10	1.173576	0.509784	1.028097	0.531376	0.150618	1.050157	2.003882
PAU7	0.453054		0.259674	0.219464	-0.099126	0.217735	0.913476
HDA3		0.602392	0.732055	0.495158		0.712669	2.317026
SSN2		1.174546	0.898388		0.096535	0.497623	2.486854
MPC3		0.499002	0.264864	0.211853	0.057996	0.301157	1.049219
IKS1	0.195744	0.151192	0.199876	0.490679	0.219183	0.114154	0.618579
YLR346C	0.107732		0.270605	0.349634	0.105795		0.587803
GAL1	0.238327	0.11997	0.308586	0.64786	0.199044	0.299697	0.93684
DLS1	0.447943	0.603825	0.76949	0.879666		0.608656	1.251848
IOC3			0.285507	0.426151	-0.064213	0.293981	0.707553
VPS74	-0.125105	0.803511	0.530262	1.033529	0.378884	0.66103	1.791784
APC9	0.145724	1.052223	0.342774	1.111664	0.54446	0.993158	2.097071
YFL063W		0.502263	0.099248	0.41149	0.130602	0.460415	1.025885
PMT5	-0.061661	0.215052	0.216632	0.386741	0.193738	-0.022763	0.738704
DIA1		0.177992	0.189415	0.472281	0.249514	-0.024602	1.025913
YPR071W	-0.097273	0.170885	0.196227	0.269353		0.051312	0.368559
STF2		0.342012	0.246066	0.359274	0.232032	0.12203	0.519731
YDR271C	-0.207907	0.352697	-0.021779	-0.084781	2.102018	1.303352	1.523395
MDM38	-0.519818	-0.037112	0.99596	0.20036	2.359772	1.443526	1.603172
CEM1		0.092532		0.036734	2.236906		1.568177
CIS3	0.050462	-0.019611		-0.088255	0.762565	0.500499	0.659388
YJL215C	0.244576	0.117916		-0.008933	1.198434	0.89461	1.450624
VPS69		0.072656	1.212375	0.284498			3.585297
BSC6		0.001844	0.260325		0.747015	0.773	0.777049
TOM6	-0.19952	0.163504	0.646062	-0.201155	0.896052	0.752734	1.216268
MUM3	-0.114433		0.223317		0.547908	0.627531	0.671299
MDM20		0.092532		-0.454759			1.067767
MAP2	-0.438678	0.180564		-0.243538	0.590604	0.608027	1.019406
RPL22A			0.124494				1.421884
YMR141C		0.036486	0.285253	-0.40973	0.856004	0.994047	1.571573
EMP47	-0.000668	-0.146269	0.237512	-0.06012	0.232315	0.18241	0.437436
POM152	0.078745	-0.294043	0.546743	-0.195125	0.854534	0.411268	1.29517
FYV5	0.476865	-0.901612	0.750792	1.452289			3.628332
TRS33		-0.351086	0.300398		1.132625	0.525364	1.551622
AIM20	-0.129152	-0.154991	0.148815	0.215974	0.815488	0.488786	0.846225
THP2	0.050719	-0.194222		0.011427			0.758134
IDH1			-0.006774		1.942822	1.146504	2.470283
SEF1		-0.284714	-0.039928	0.255774	1.17601	0.481885	1.158504
YCL013W	0.34549	-0.382191	0.099595	0.061105	0.755416	0.641995	1.377088
TRM13	0.024738	0.000113	0.402719	0.225014	0.749418	0.176015	1.142804
GRX8	-0.078648	-0.093773	0.046162	0.127859	0.752594	0.138217	1.071869
YGR283C	-0.134619		0.178739	0.079161	0.543963	0.068831	0.766732
SSN8	-1.817464	0.168734	-0.065725	1.060427	-0.519703	0.2523	1.594374
SUR7	-0.783604	-0.078967	-0.189686		-0.361563	0.18716	0.55802
ERV14	-0.648025	0.057139	-0.081018	0.747873	-0.683844	0.076892	0.856281
YBP1	-0.54773	-0.236218	0.188029	0.282044	-0.131855	0.183049	0.500978
YOR325W		-0.121461	0.094921	0.260136	-0.18413	0.058815	0.281075
YLL032C	-0.201383		0.157787	0.00896	-0.137838	0.222156	0.175532
YPT6	-0.605332	0.159215	0.348264	0.684144	-0.443484	1.269648	1.030612
YML033W	-0.347889	0.188367	0.463946	0.516558	-0.259052	0.552624	0.907519
YCR102C	-0.326958	0.368248	0.218069	0.178795	-0.295132	0.424587	0.689479
PTC3	-0.210698	-0.130611	-0.11026	0.214373	0.064368	0.309035	0.261515
VHS3	-0.49609	-0.480807	-0.509558	0.456722			0.318389
LEU3					-0.141912	0.86164	0.726977
ISC10	-0.272217		-0.292965	0.13482	0.012968	0.345003	0.420737
SOK1			-0.264163	0.182925	-0.111509	0.314416	0.352864
SVP26	-0.730595	0.242466	-0.499599	0.223004	0.083666	0.420646	0.470045
PRK1	-0.336298	-0.113798	-0.198792	-0.000441	0.19729	0.494157	0.370974
DPH2	-0.577508	0.013714	-0.400619	0.087922	0.205585	0.807317	0.401472
KEL3	-0.427641	-0.144815	-0.00401	0.054374	-0.100766	0.641445	0.612356
YAL043C-A		-0.262438	-0.029723	-0.074881		1.122281	0.8516
COS6	-0.095708	-0.123952	-0.063147	0.049841	0.049527	0.324564	0.286598
SPS4	-0.406083	-0.032795		0.067706	0.666579	0.357168	0.75233
PDR1	-0.457025	0.047043	0.844988	0.081064			
PDX1			0.054325		2.936873		3.394059
YGR122C-A	-0.301493	-0.022873	0.137492	0.081842	-0.027387	0.187057	0.345142
ISR1	-0.548387	0.042777	-0.141293	0.156226		0.450573	0.684181
MKS1		0.092532		0.283744	0.185242		1.288403
RDR1	-0.595062	-0.039044	0.368616	0.257543	0.462876	0.409777	0.769186
YCK1	-0.748361	-0.086933		0.373948	0.233603	0.541913	0.796026
TFS1		-0.052942	0.26022	0.284165			0.683969
YDR537C		-0.139777	0.243036	0.19109	0.222004	0.15601	0.483431
YMR018W	-0.313671	0.148518	0.264393	0.151774	0.279585	0.284862	0.486416
YBR075W		0.152421	0.315365	0.199524	0.219044	0.324408	0.587291
MMP1	-0.774582	0.028438	-0.084778	0.288578	0.0406	0.119604	0.202763
MRPL40					0.822944		
PSP2	-1.464733	-0.415658	-0.503745	0.954207	0.000061	0.615159	1.306542
FRE8	-0.360438	0.401548	-0.213299	0.566253	0.423643	0.162352	0.664785
KTR1	-0.463362	0.271993	-0.16704	0.704018	0.312953	0.217576	0.80814
STP4	-0.198665	0.118833	0.036632	0.407422	0.271749	0.040684	0.368276
IZH2	-0.285401		0.066156	0.679527	0.356232	0.339046	0.908421
RPL40B	-0.124715	0.016067	0.099232	0.607216	0.261484	0.359193	1.097866
YML010W-A	-0.994747	0.164963	-0.644996		0.925304	0.949629	3.56407
LPL1			-0.089224	0.320447	0.1081	0.043156	0.428595
ESC1	-0.571699	0.033543	0.078827	0.728203	0.022095	0.144299	1.030483
HHO1	-0.308332	0.012635		0.365541	0.036488	0.028633	0.427499
YBR051W	-0.330568	0.334983	0.069722	0.277523	0.396626	-0.02081	0.320989
APM1	-0.265661	0.301486	-0.070396	0.117147	0.243387	0.048608	0.28391
PUS2	-0.402178	0.379497	0.093192	0.561108	0.914271	0.36849	0.4985
PEP8	-0.353872	0.245658	-0.023459	0.214021			
VTS1		0.673137		0.585596	0.788037	0.816472	0.716858
ERV29	-0.990586	0.114877	0.373543	0.107616	0.299847	-0.095096	0.169569
AGE1	-0.55211		0.122176	0.121754		0.05515	0.089154
YOR097C		0.632103	0.36719	0.466299	0.443063	0.102521	0.237078
VHR2	-0.137489	0.21145	0.269407	0.154632	0.08723	0.072163	0.218045
YSC84	-0.264521	0.140362	0.319394	0.282564	0.164546	0.102642	0.111802
PGC1	-0.455274	0.251055		0.62564	-0.002958	0.287755	
EEB1			0.621179	0.485113	0.000959	0.134261	0.238773
ABZ1	-0.195082	0.165592	0.846974	0.78652	-0.097791	0.45024	0.35964
YCR101C	0.717626	0.090864	0.122194	-0.876665	0.327902	0.616325	0.462289
RBS1	0.451254	0.395033	0.11513	-0.36289	0.210917	0.502617	0.249554
NTG1	0.603279	0.264067	0.161381	-0.294388	0.138724	0.212656	0.078715
DTD1	0.13648	0.123599	0.410494	-0.69525	0.176164	0.671488	0.109965
AQY1	0.381058	-0.096283	0.171363	-0.130845	-0.100441	0.14269	0.176536
MUD1	0.444025	0.080398	0.181098	-0.082137	-0.243427	0.236658	0.303879
KRE6	0.852706	0.026272	0.007008	-0.317828			
DAL82	0.77294	0.038775	-0.023373		-0.220477	0.309924	0.234509
YKL070W	0.427924	0.098241	0.110969	-0.245486	-0.287378	0.43631	0.080363
RXT2	0.705653	-0.141753	0.049783	-0.089694	-0.341023	0.28694	-0.21419
MNR2	0.559871	-0.014532		-0.208704	-0.395496	0.218352	-0.130442
YOL029C	0.391451	0.187018	-0.063884	-0.425025	-0.112817	0.388775	0.329648
HXT5	0.361743	0.278504	0.137081		-0.439288	0.57972	0.691682
RIM11		0.101631	0.118714	-0.237306	-0.177167	0.231356	
FLO11	0.324084	-0.271913	0.085376	-0.069722	-0.306624	0.282347	-0.09459
DUS3	-0.168613	0.122917	0.293134	-0.426665	-0.053264	-0.081466	-0.006432
ECL1	-0.152409	0.202206	0.721395	-0.945523	-0.138846	-0.045252	0.20036
RNR3	0.495083	0.92472	0.940104	-1.206193	-0.382261	-0.462619	0.700993
YNK1	0.399803	0.408275	0.188122	-0.742811	-0.111046	0.156316	0.362883
MIC12	0.401073	0.02526	0.388064	-0.380008	0.011574	-0.326587	0.031729
YML108W	0.382203	0.092741	0.271863	-0.340368	-0.160165	-0.151024	-0.163893
SCS3	0.155166	0.572477	0.402374	-0.478063	-0.040463	-0.446846	-0.256099
OAC1	0.78622	0.229639	1.006921	-0.639339	0.37926	-0.042463	-0.216755
APE3	0.218737	0.097721	0.561766	-0.248935	0.080486	0.102844	0.054058
FRD1	0.604207	0.184335	0.588044	-0.320901	-0.121649	0.103329	0.067845
RPP1B	1.401229	0.472896	1.711699	-0.359502	0.175782	0.013479	0.639637
YLR184W	2.108816	0.86885	2.142353	-0.353362	0.082704	0.327596	0.915195
UBA3	1.202984	1.33387	1.931367	-0.452592	0.253285	-0.05758	0.521056
RPL24B		0.787883	1.186972	-0.109358	0.36706	0.248705	0.596976
PEX1	1.066808	0.889528	1.391739	-0.661095	0.545682	0.496948	
CRZ1	-0.018117		0.615609	-0.321764	-0.244838	0.363207	0.015472
YJR142W	0.164432	0.037925	0.376618	-0.166457	-0.291805	0.197802	0.18686
ATR1	0.157539	-0.004326	0.38029	-0.227215	-0.125715	-0.034339	0.127739
BLI1	0.242241	0.161967	0.654128	-0.606563	-0.235336	-0.030801	0.235498
MRP17	1.691151	1.55882	1.252044	-0.990637	0.67834	-0.060719	2.437021
YPL245W	0.248447	0.156061	0.181191		0.042513	-0.044607	0.257032
YMR206W	0.344168	0.16711	0.1785	-0.224146	0.112515	-0.014271	0.316722
RPS4B	1.161946	1.109766	0.882854	-0.050748	-0.054049	-0.254698	1.382551
SLX1	0.421243	0.349134	0.198195	-0.034659	-0.074815	0.013074	0.298413
YPL257W	0.265557	0.014858	0.066433	0.057548	-0.015072	-0.051908	0.493329
RPA49	1.252086	0.37466	0.235227	0.077603	-0.262323	-0.353509	1.208466
SAP185	0.499143	0.126822	0.245968	0.303551	-0.044831	0.08914	0.444475
MRPS8	2.093356	0.684532	0.745802	0.907324	-0.141899	0.432247	
YER156C	1.142045	0.519458	0.437114	0.471355	-0.187837	-0.015855	0.932527
GRE3	0.222052	0		0.149709	0.011807	0.040957	0.418754
BRR1	0.792407		1.081561	0.593387	-0.041018	0.108248	1.518575
COS10	1.469174	0.701365	1.280872	0.793418	0.108711	0.147088	1.657712
TAE1	0.60528	0.070524	0.398582	0.390086	-0.262275	-0.127599	0.813635
MIS1	0.661087	0.082523	0.569757	0.423411	-0.063735	-0.287513	0.993295
SAS3	0.178086	0.18777		0.037219	-0.055146	0.040121	0.279712
YHR095W	0.3598		0.131465	0.180583	-0.12452	0.092786	0.62034
CHZ1	0.537115	0.371665	0.515378	0.177139	-0.173434	0.061565	0.8763
ALG8	0.976056		1.066683	0.859801	-0.293241	-0.146681	0.943058
MMT1	0.30155	0.235436	0.466587	0.459915		-0.084952	0.383025
PXL1	0.565507	0.173236	0.232298	0.338859	0.278524		0.484464
YLR407W						-0.641323	2.179792
PIC2	0.548264	0.173059	0.189899	0.386044	0.106806	-0.250109	0.37842
URA5							0.569079
ECI1	0.540213		0.326493	0.274418	0.001709	-0.066779	0.230708
YGR012W		0.41778	0.41281	0.419237	0.037852	-0.225149	0.431633
OCA4	1.351465	0.125673	1.008237	0.208049	0.489992	-0.086008	0.665526
COX5B	0.392773	0.131264	0.329173	0.0217	-0.013193	-0.148884	0.324839
GRH1	0.624597	0.23604	0.620437		0.063259	-0.253786	0.63385
RPL7A	1.56177	0.372259	0.9011	0.041365	-0.07302	-0.35324	0.783151
IDP1	-0.082229	0.236277	0.81424	0.099966	-0.270301		0.449227
ISC1	-0.20259	0.187007	0.525369	0.033146	-0.406455	-0.002939	0.946151
YCR016W	0.221177	0.270839	0.639683	0.073217	-0.391987	0.096527	1.200171
GFD1	0.11614	0.240103	0.518557	0.154335	-0.341287	-0.022915	
YIL055C	0.212394	0.210349	0.645464	-0.063524	-0.531728	-0.086425	0.761607
MSH1	1.032953	-0.11754	1.587403	0.774716	-0.78998	0.254255	
